Product ID,Product Name,Category,Sub-Category,Expiration Date,Stock Level,Sales Velocity,Purchase Date,Price,Shelf Life,Product Weight/Volume,Additional Feature 1,Additional Feature 2,Likely to be Sold
PID100024,Line Benefit,Deli,Pre-made Salads,2024-02-01,46,4.192101306898751,2023-05-05,33.22,272,1.62,Pre-made Salads,Soft,No
PID100025,Type Movie,Eggs,Size,2024-12-28,43,7.520653102056061,2023-07-10,27.67,537,1.43,Medium,AA,No
PID100026,Boy Fish,Deli,Pre-made Salads,2024-08-02,46,6.107638020035664,2023-04-24,44.71,466,8.55,Deli Meats,Hard,No
PID100027,Seat Capital,Deli,Cheese,2024-07-31,96,4.43697088863385,2023-05-10,32.89,448,0.12,Deli Meats,Hard,No
PID100028,Teacher Win,Fresh Juices,Freshly Squeezed Juices,2024-07-28,31,2.619429298157202,2023-03-20,22.96,496,7.13,Freshly Squeezed Juices,Preservatives,No
PID100029,Successful Player,Ready-to-Eat Meals,Pre-packaged Meals,2024-07-31,52,8.781037827338139,2023-08-17,28.81,349,7.74,Pre-packaged Meals,None,No
PID100030,Field Light,Fresh Produce,Fruits,2024-02-05,58,1.1069199365575293,2023-08-20,35.37,169,4.52,Ripe,9.080398571595916,No
PID100031,Success Image,Fresh Produce,Fruits,2024-05-03,64,3.596467092369149,2023-08-12,42.05,265,0.59,Ripe,1.88001294050828,No
PID100032,Effort Fill,Dairy Products,Yogurt,2024-03-12,2,4.317259811019164,2023-03-15,34.25,363,3.23,6.405739861940884,2%,No
PID100033,Term Culture,Fresh Produce,Fruits,2024-01-13,25,1.6295870004550854,2023-08-26,32.81,140,8.75,Ripe,6.885400040337084,No
PID100034,Realize Ever,Meat and Seafood,Beef,2024-07-04,61,8.612412041174712,2023-01-27,20.44,524,0.91,Fillet,Shellfish,No
PID100035,Behind Respond,Dairy Products,Soft Cheeses,2024-10-21,18,6.708886406929958,2023-02-20,41.05,609,6.48,3.453280375569424,Whole,Yes
PID100036,Under Citizen,Deli,Prepared Meats,2024-12-24,6,0.8863010999149785,2023-01-16,34.37,708,5.63,Sausages,Hard,No
PID100037,Thousand Be,Fresh Produce,Vegetables,2024-12-14,92,6.619362813053625,2023-09-29,23.47,442,4.41,Overripe,1.7828831976535986,No
PID100038,Wind Themselves,Ready-to-Eat Meals,Pre-made Salads,2024-07-28,38,0.5845222794662486,2023-09-23,8.4,309,3.4,Pre-made Salads,Vegan,No
PID100039,Include Third,Dairy Products,Soft Cheeses,2024-09-30,100,6.39511202900724,2023-07-23,3.02,435,1.72,29.45742210375916,Skim,No
PID100040,Fact Nearly,Fresh Juices,Smoothies,2024-11-11,71,1.7315889208567623,2023-04-02,6.63,589,7.33,Smoothies,None,No
PID100041,Time Dinner,Deli,Prepared Meats,2024-12-13,67,7.422277105399946,2023-09-21,15.83,449,8.37,Sausages,Semi-Soft,No
PID100042,Perform That,Dairy Products,Milk,2024-06-11,72,9.132246766769414,2023-08-14,24.23,302,8.42,29.28688372947171,Skim,No
PID100043,Face Little,Dairy Products,Cream,2024-07-10,15,7.146155265930876,2023-09-14,21.9,300,3.09,22.042529736558457,Whole,Yes
PID100044,Put School,Meat and Seafood,Shellfish,2024-12-22,49,8.158125707941688,2023-11-05,49.58,413,0.96,Steak,Fish,No
PID100045,Heavy Beautiful,Bakery Items,Bread,2024-05-05,50,0.5745845506468923,2023-08-26,20.3,253,5.24,Bread,Fruit,No
PID100046,Business Message,Eggs,Size,2024-08-15,55,1.294800806784248,2023-09-02,11.79,348,9.99,Small,A,No
PID100047,Government Through,Ready-to-Eat Meals,Pre-packaged Meals,2024-03-14,46,1.5926178031165188,2023-04-05,41.28,344,8.54,Pre-packaged Meals,Gluten-Free,No
PID100048,Admit Sign,Eggs,Size,2024-04-15,16,5.222331004444951,2023-02-15,13.57,425,6.45,Large,A,Yes
PID100049,Season Discussion,Dairy Products,Yogurt,2024-05-24,59,4.091303660985826,2023-11-05,27.77,201,1.6,29.660696669572694,Skim,No
PID100050,Conference Go,Meat and Seafood,Shellfish,2024-06-14,52,6.56445367976524,2023-11-13,21.74,214,5.26,Fillet,Shellfish,No
PID100051,Assume Blood,Eggs,Size,2024-10-31,70,6.292820798959413,2023-02-26,11.72,613,3.47,Small,AA,No
PID100052,Top Save,Fresh Juices,Freshly Squeezed Juices,2024-03-25,68,1.9094853833883327,2023-01-18,13.59,432,7.86,Freshly Squeezed Juices,Sugar,No
PID100053,Technology Painting,Deli,Pre-made Salads,2024-09-03,91,8.16702610976322,2023-12-20,4.25,258,0.94,Deli Meats,Soft,No
PID100054,Would Nor,Bakery Items,Bread,2024-08-21,6,3.3542587656170784,2023-09-22,38.19,334,4.54,Bread,Cream,No
PID100055,Back Agreement,Meat and Seafood,Fish,2024-02-18,48,5.297497079753944,2023-09-04,45.15,167,5.07,Steak,N/A,No
PID100056,Current Police,Dairy Products,Cream,2024-11-18,97,2.457995904623041,2023-08-12,27.24,464,6.03,24.770898514810614,Skim,No
PID100057,Call Include,Ready-to-Eat Meals,Pre-made Salads,2024-02-05,76,2.718925413396267,2023-05-24,43.37,257,0.3,Pre-made Salads,Gluten-Free,No
PID100058,These Business,Meat and Seafood,Chicken,2024-01-15,65,5.917533043156298,2023-08-24,17.3,144,4.99,Fillet,Shellfish,No
PID100059,Age Day,Ready-to-Eat Meals,Fresh Pasta,2024-03-12,50,1.0914582092766196,2023-10-06,32.41,158,1.36,Fresh Pasta,Vegan,No
PID100060,Candidate Measure,Fresh Juices,Freshly Squeezed Juices,2024-03-22,5,5.072638921214099,2023-10-10,7.9,164,8.91,Freshly Squeezed Juices,Preservatives,Yes
PID100061,Such Ask,Dairy Products,Yogurt,2024-12-29,46,4.405831864731073,2023-09-21,30.98,465,3.93,1.410987474355213,Skim,No
PID100062,Agency Off,Meat and Seafood,Beef,2024-06-14,5,6.183852474132955,2023-08-30,7.5,289,3.31,Fillet,Fish,Yes
PID100063,Blood Thing,Ready-to-Eat Meals,Fresh Pasta,2024-04-10,15,8.872127846416292,2023-01-28,30.9,438,4.73,Fresh Pasta,None,Yes
PID100064,Do Away,Fresh Juices,Freshly Squeezed Juices,2024-09-08,88,7.279360453854171,2023-04-27,15.52,500,8.51,Freshly Squeezed Juices,Sugar,No
PID100065,Hard Least,Deli,Pre-made Salads,2024-03-11,88,9.842281745354706,2023-01-24,6.96,412,8.62,Deli Meats,Soft,No
PID100066,Most Manage,Ready-to-Eat Meals,Fresh Pasta,2024-01-16,48,7.687854102324968,2023-08-20,23.32,149,7.92,Fresh Pasta,Gluten-Free,No
PID100067,Blood Scene,Fresh Produce,Fruits,2024-05-31,63,2.9261701297773293,2023-03-19,2.31,439,5.25,Overripe,5.717968260934746,No
PID100068,Ever Her,Bakery Items,Bread,2024-12-17,12,7.875255117448009,2023-10-12,44.35,432,6.31,Bread,Fruit,Yes
PID100069,Many This,Deli,Prepared Meats,2024-12-16,19,4.546717356685549,2023-12-23,28.73,359,9.24,Deli Meats,Semi-Soft,No
PID100070,Over Condition,Dairy Products,Milk,2024-09-27,54,7.851277958478712,2023-09-19,36.98,374,0.4,13.401557974015095,2%,No
PID100071,Democrat Speak,Ready-to-Eat Meals,Pre-packaged Meals,2024-01-23,64,9.23318235731533,2023-11-03,48.15,81,7.25,Pre-packaged Meals,Gluten-Free,No
PID100072,Require Cold,Fresh Juices,Freshly Squeezed Juices,2024-11-24,16,3.912906490801751,2023-03-04,2.44,631,3.54,Freshly Squeezed Juices,None,No
PID100073,Guess Next,Bakery Items,Pastries,2024-04-07,10,6.167595837173114,2023-02-15,8.02,417,0.13,Pastries,None,Yes
PID100074,Picture Will,Fresh Produce,Vegetables,2024-06-20,48,7.049931527928822,2023-09-16,46.71,278,2.41,Unripe,1.8699170242285779,No
PID100075,Continue Add,Dairy Products,Cream,2024-07-02,45,7.221064583302509,2023-09-22,13.65,284,0.38,6.243603757524461,Skim,No
PID100076,It We,Eggs,Grade,2024-08-09,38,9.402705020046962,2023-12-06,47.95,247,6.4,Large,A,No
PID100077,Movie Whose,Dairy Products,Soft Cheeses,2024-04-30,21,4.077594857870903,2023-09-10,8.2,233,1.34,6.6845226993914135,2%,No
PID100078,Heavy Important,Bakery Items,Bread,2024-11-21,97,2.2474720013519027,2023-09-13,19.25,435,6.67,Bread,Cream,No
PID100079,Enough Class,Fresh Produce,Vegetables,2024-08-05,10,7.170610470291271,2023-09-26,7.47,314,3.06,Ripe,7.408788198709219,Yes
PID100080,Actually Lot,Meat and Seafood,Shellfish,2024-10-14,55,3.3312670331536034,2023-01-31,18.37,622,2.56,Fillet,N/A,No
PID100081,Government Single,Fresh Produce,Vegetables,2024-01-18,53,0.5800622773441815,2023-07-31,48.14,171,9.02,Ripe,2.03990275946234,No
PID100082,Fast Central,Deli,Cheese,2024-04-03,12,9.527549130930401,2023-10-23,40.03,163,2.84,Pre-made Salads,Hard,Yes
PID100083,Meet He,Meat and Seafood,Fish,2024-08-24,52,2.261116536651455,2023-04-22,21.66,490,1.83,Whole,Shellfish,No
PID100084,Report Her,Meat and Seafood,Chicken,2024-08-17,60,6.49941077123868,2023-12-13,5.24,248,7.57,Fillet,Fish,No
PID100085,Property Too,Eggs,Grade,2024-08-29,1,2.5779747540974696,2023-02-21,6.61,555,9.79,Medium,A,No
PID100086,Senior Force,Ready-to-Eat Meals,Pre-made Salads,2024-05-30,97,4.978631756300135,2023-10-18,34.23,225,7.62,Pre-made Salads,Gluten-Free,No
PID100087,Join Them,Ready-to-Eat Meals,Fresh Pasta,2024-09-09,81,9.848143802623332,2023-02-01,6.92,586,8.85,Fresh Pasta,Gluten-Free,No
PID100088,Ability Phone,Fresh Produce,Vegetables,2024-03-15,51,5.49796813324345,2023-09-29,29.5,168,4.02,Unripe,7.465509493098264,No
PID100089,Good Collection,Fresh Juices,Smoothies,2024-04-02,97,6.889200222740739,2023-03-28,10.61,371,0.94,Smoothies,None,No
PID100090,Public Line,Deli,Cheese,2024-05-27,69,3.7289588609543127,2023-10-03,26.98,237,2.57,Deli Meats,Soft,No
PID100091,Type Report,Ready-to-Eat Meals,Fresh Pasta,2024-08-08,37,5.4384239709153395,2023-12-06,29.13,246,6.31,Fresh Pasta,None,No
PID100092,Join Almost,Dairy Products,Cream,2024-06-05,82,5.6639449397655,2023-12-05,37.33,183,9.05,8.358437931296415,Skim,No
PID100093,Science Out,Fresh Juices,Freshly Squeezed Juices,2024-06-11,21,1.6713330717519175,2023-10-27,6.91,228,4.07,Freshly Squeezed Juices,Sugar,No
PID100094,Recognize Security,Meat and Seafood,Shellfish,2024-01-19,86,3.340132060375434,2023-03-06,31.97,319,7.45,Ground,Shellfish,No
PID100095,Like Attack,Eggs,Grade,2024-04-10,64,6.6945175685362095,2023-09-30,3.95,193,3.07,Small,AA,No
PID100096,Coach Likely,Fresh Produce,Fruits,2024-07-23,4,3.8763129486108134,2023-12-10,20.16,226,9.93,Overripe,9.78906602162546,No
PID100097,Message Whatever,Dairy Products,Cream,2024-08-06,1,3.9321440226673308,2023-08-23,6.69,349,0.14,8.109832154172786,2%,No
PID100098,Someone A,Deli,Pre-made Salads,2024-12-09,30,1.8364580023313488,2023-01-16,29.07,693,1.99,Sausages,Semi-Soft,No
PID100099,Miss Gas,Fresh Juices,Smoothies,2024-05-01,22,3.641607444779902,2023-11-22,32.75,161,6.91,Smoothies,None,No
PID100100,Manage Apply,Eggs,Size,2024-11-10,68,3.502681126651308,2023-11-16,11.23,360,1.95,Medium,AA,No
PID100101,Type Task,Ready-to-Eat Meals,Fresh Pasta,2024-06-10,50,7.432939846750464,2023-03-15,39.98,453,4.45,Fresh Pasta,Gluten-Free,No
PID100102,Official Property,Fresh Produce,Vegetables,2024-02-02,5,2.7232779749868063,2023-11-22,5.15,72,1.95,Unripe,7.431628081058981,No
PID100103,Share Case,Meat and Seafood,Pork,2024-01-06,79,3.3265081742317535,2023-06-06,5.24,214,8.7,Fillet,Shellfish,No
PID100104,Resource Key,Ready-to-Eat Meals,Fresh Pasta,2024-05-02,7,6.502854601440191,2023-01-02,26.29,486,9.57,Fresh Pasta,None,Yes
PID100105,Different Address,Ready-to-Eat Meals,Pre-made Salads,2024-10-05,59,5.156919605435029,2023-10-21,35.5,350,2.23,Pre-made Salads,Vegan,No
PID100106,Able Test,Fresh Produce,Fruits,2024-09-19,7,2.047146654301294,2023-07-25,1.19,422,6.58,Unripe,0.6369015415518986,No
PID100107,Population Billion,Ready-to-Eat Meals,Pre-made Salads,2024-03-14,29,9.721420036867709,2023-02-16,20.43,392,9.22,Pre-made Salads,Vegan,No
PID100108,Political Range,Bakery Items,Pastries,2024-03-18,78,1.4722192642120109,2023-12-06,44.26,103,7.97,Pastries,Custard,No
PID100109,Five Far,Eggs,Grade,2024-09-24,33,0.7738766071118999,2023-03-12,3.17,562,3.75,Large,AA,No
PID100110,Black Maybe,Bakery Items,Bread,2024-11-27,33,6.890344872517488,2023-12-25,37.04,338,3.19,Bread,Fruit,No
PID100111,Industry Product,Deli,Cheese,2024-02-01,45,8.783769177411225,2023-01-09,12.76,388,3.13,Pre-made Salads,Soft,No
PID100112,Face White,Fresh Produce,Vegetables,2024-06-24,64,7.383745846620847,2023-11-07,3.33,230,8.11,Ripe,4.60511672795628,No
PID100113,Structure Business,Dairy Products,Milk,2024-11-30,11,2.790871772452735,2023-04-10,41.49,600,1.62,26.527585592694763,Whole,No
PID100114,Cell Ready,Eggs,Size,2024-07-21,55,5.8106065815006565,2023-11-14,44.44,250,4.01,Large,A,No
PID100115,Rather Quite,Eggs,Size,2024-05-14,17,8.484360600079448,2023-02-14,14.67,455,3.59,Medium,A,Yes
PID100116,Try Clear,Deli,Pre-made Salads,2024-04-18,70,7.995858277464344,2023-11-27,35.84,143,7.8,Pre-made Salads,Hard,No
PID100117,After And,Eggs,Grade,2024-01-16,35,2.7019848164715246,2023-03-21,6.82,301,7.86,Large,A,No
PID100118,Responsibility Event,Ready-to-Eat Meals,Pre-packaged Meals,2024-08-04,28,3.2032913480549343,2023-05-03,37.07,459,6.63,Pre-packaged Meals,None,No
PID100119,Your Hit,Ready-to-Eat Meals,Pre-packaged Meals,2024-12-30,16,4.154598661730969,2023-08-09,14.35,509,9.71,Pre-packaged Meals,None,No
PID100120,Where Time,Fresh Juices,Freshly Squeezed Juices,2024-01-17,87,7.3072179718546355,2023-11-25,27.79,53,2.89,Freshly Squeezed Juices,Preservatives,No
PID100121,So Science,Bakery Items,Bread,2024-08-23,67,3.4214252748275893,2023-09-12,17.04,346,3.79,Bread,Fruit,No
PID100122,Miss Seem,Deli,Pre-made Salads,2024-09-07,22,1.8042355305896243,2023-12-17,1.76,265,5.1,Sausages,Hard,No
PID100123,Low Push,Fresh Produce,Fruits,2024-06-18,51,1.9748097901768045,2023-05-25,9.66,390,9.91,Unripe,7.650406152494567,No
PID100124,Try Note,Eggs,Size,2024-03-10,31,7.459325613492888,2023-03-22,40.99,354,7.62,Medium,A,No
PID100125,How People,Eggs,Size,2024-04-23,79,8.42237082307888,2023-01-04,26.8,475,3.65,Medium,AA,No
PID100126,Certainly City,Fresh Produce,Fruits,2024-04-15,72,6.701252490646047,2023-05-10,33.38,341,5.0,Overripe,4.809150885494712,No
PID100127,Green Strategy,Fresh Juices,Freshly Squeezed Juices,2024-05-22,34,1.805720632828078,2023-10-07,20.69,228,1.99,Freshly Squeezed Juices,Sugar,No
PID100128,Better Ground,Deli,Cheese,2024-10-29,8,2.4823024113754535,2023-08-29,16.44,427,7.5,Deli Meats,Semi-Soft,No
PID100129,Also Analysis,Eggs,Size,2024-04-14,34,3.7696312247220876,2023-03-05,8.95,406,0.27,Small,A,No
PID100130,Citizen Past,Meat and Seafood,Chicken,2024-04-22,3,5.165517411860709,2023-05-21,4.0,337,2.49,Steak,Fish,Yes
PID100131,Indicate Official,Fresh Juices,Freshly Squeezed Juices,2024-02-20,8,3.7768208476520013,2023-04-24,33.53,302,1.44,Freshly Squeezed Juices,None,No
PID100132,Building Mean,Eggs,Grade,2024-10-10,19,3.901333778824973,2023-04-04,9.67,555,3.36,Small,AA,No
PID100133,World Anything,Ready-to-Eat Meals,Pre-packaged Meals,2024-04-29,53,8.963776666712302,2023-03-11,27.15,415,8.07,Pre-packaged Meals,None,No
PID100134,Tough Necessary,Eggs,Size,2024-10-09,73,9.254324161743051,2023-01-28,21.04,620,3.96,Large,A,No
PID100135,Five Interesting,Meat and Seafood,Beef,2024-11-20,43,2.755114499340185,2023-05-08,41.58,562,1.85,Steak,Fish,No
PID100136,Firm Join,Meat and Seafood,Beef,2024-02-12,55,9.312669584261744,2023-02-08,30.3,369,6.24,Whole,N/A,No
PID100137,Option When,Meat and Seafood,Shellfish,2024-07-05,78,0.8804636217541422,2023-07-04,17.67,367,7.41,Whole,Fish,No
PID100138,Green Thought,Fresh Produce,Vegetables,2024-11-05,12,3.904469141967432,2023-11-12,33.91,359,4.64,Overripe,3.558094886115547,No
PID100139,Gun Capital,Ready-to-Eat Meals,Fresh Pasta,2024-07-05,35,8.13157738877069,2023-02-15,47.28,506,0.25,Fresh Pasta,None,No
PID100140,Scene Modern,Deli,Pre-made Salads,2024-06-14,61,9.784611354260289,2023-01-15,38.87,516,5.75,Sausages,Hard,No
PID100141,Five Government,Fresh Produce,Vegetables,2024-10-12,51,7.353183292896657,2023-09-24,20.79,384,5.01,Unripe,2.7304969534246992,No
PID100142,Wall Clearly,Fresh Produce,Vegetables,2024-12-23,88,6.963738806762062,2023-03-06,35.43,658,9.3,Overripe,7.620813713006523,No
PID100143,Produce Other,Fresh Juices,Smoothies,2024-05-25,33,2.4852124869969208,2023-11-10,28.74,197,3.36,Smoothies,None,No
PID100144,Purpose Begin,Fresh Juices,Freshly Squeezed Juices,2024-01-26,20,3.6412554125417538,2023-11-10,37.62,77,0.19,Freshly Squeezed Juices,None,No
PID100145,Become Decade,Meat and Seafood,Chicken,2024-10-18,47,3.2663108329793373,2023-03-27,15.38,571,5.0,Whole,N/A,No
PID100146,Ask Image,Ready-to-Eat Meals,Pre-packaged Meals,2024-01-04,1,7.989230810383022,2023-02-08,28.86,330,4.47,Pre-packaged Meals,Vegan,Yes
PID100147,Indeed Only,Fresh Produce,Vegetables,2024-07-20,86,8.274682296789791,2023-04-23,39.15,454,7.5,Unripe,0.7024606726227145,No
PID100148,List Wife,Ready-to-Eat Meals,Fresh Pasta,2024-07-08,23,5.530531437051736,2023-11-03,4.1,248,6.43,Fresh Pasta,None,No
PID100149,Pattern Send,Dairy Products,Cream,2024-09-20,97,4.629056710933939,2023-03-26,16.26,544,0.23,23.355936480503054,2%,No
PID100150,Land Because,Deli,Cheese,2024-05-23,69,5.5090199207389245,2023-03-27,16.58,423,3.49,Pre-made Salads,Semi-Soft,No
PID100151,Every Pay,Meat and Seafood,Beef,2024-10-28,97,5.357742961314795,2023-03-06,39.45,602,7.04,Whole,Shellfish,No
PID100152,Lawyer Dark,Eggs,Size,2024-05-19,72,9.168076354343784,2023-02-14,32.2,460,8.0,Large,A,No
PID100153,Attack Term,Fresh Juices,Freshly Squeezed Juices,2024-12-01,88,2.347839504432872,2023-11-28,18.37,369,7.03,Freshly Squeezed Juices,None,No
PID100154,Science Ahead,Bakery Items,Cakes,2024-12-16,31,3.1074902248296534,2023-07-24,47.3,511,9.27,Cakes,None,No
PID100155,Live Soldier,Eggs,Size,2024-09-19,96,7.281250564543258,2023-03-20,43.32,549,8.96,Small,A,No
PID100156,By Modern,Bakery Items,Bread,2024-06-03,57,9.273813218770051,2023-04-10,46.47,420,6.38,Bread,Custard,No
PID100157,Despite Put,Deli,Cheese,2024-01-17,97,7.848053283121807,2023-11-06,30.87,72,1.0,Deli Meats,Semi-Soft,No
PID100158,Direction Price,Fresh Produce,Vegetables,2024-02-26,26,7.7423478944602255,2023-02-10,19.94,381,7.78,Overripe,6.73076446274384,No
PID100159,Decade Low,Fresh Produce,Vegetables,2024-05-26,46,8.38359722423175,2023-05-21,7.21,371,7.13,Ripe,8.22005190136293,No
PID100160,Office The,Ready-to-Eat Meals,Fresh Pasta,2024-02-28,67,1.7857298396160406,2023-02-10,4.99,383,8.66,Fresh Pasta,Vegan,No
PID100161,Pick Method,Fresh Produce,Fruits,2024-02-27,25,7.314233269935111,2023-08-07,33.9,204,4.76,Ripe,9.281325700980792,No
PID100162,Into Pull,Fresh Produce,Vegetables,2024-09-21,51,9.100040191337996,2023-06-14,49.23,465,7.67,Ripe,4.06416786245177,No
PID100163,Understand Near,Meat and Seafood,Shellfish,2024-07-11,19,4.339931370562212,2023-09-21,16.0,294,0.69,Ground,Fish,No
PID100164,Whose View,Eggs,Size,2024-05-05,94,8.32571878981797,2023-11-20,3.13,167,5.59,Small,AA,No
PID100165,Moment Moment,Meat and Seafood,Chicken,2024-09-03,75,8.223494494606488,2023-09-18,4.96,351,1.83,Fillet,Fish,No
PID100166,Two Defense,Deli,Cheese,2024-07-29,90,7.232390831499387,2023-08-25,39.33,339,5.22,Sausages,Soft,No
PID100167,Word Discuss,Eggs,Size,2024-01-04,5,6.50916899414566,2023-05-13,9.67,236,5.17,Medium,A,Yes
PID100168,Season Skin,Bakery Items,Cakes,2024-12-15,59,6.303480366377921,2023-05-04,40.8,591,5.27,Cakes,Custard,No
PID100169,Television Fund,Meat and Seafood,Fish,2024-01-14,99,5.7812408994366455,2023-07-23,27.63,175,8.22,Fillet,Fish,No
PID100170,Choose Two,Dairy Products,Milk,2024-04-09,55,6.271638202272661,2023-08-23,28.94,230,3.42,11.341963450401884,Skim,No
PID100171,Step Clearly,Dairy Products,Yogurt,2024-11-23,41,9.292423324405343,2023-05-28,9.95,545,1.34,10.136683632270659,2%,No
PID100172,Pass Financial,Bakery Items,Bread,2024-10-05,53,6.631233070711593,2023-10-02,35.24,369,7.99,Bread,None,No
PID100173,Surface Many,Meat and Seafood,Chicken,2024-01-26,10,4.378148049213445,2023-11-07,22.59,80,6.08,Fillet,N/A,No
PID100174,Become Name,Deli,Pre-made Salads,2024-12-03,59,4.416153585287404,2023-12-22,2.5,347,8.04,Deli Meats,Semi-Soft,No
PID100175,Among Attorney,Dairy Products,Soft Cheeses,2024-03-28,13,1.6719734463749325,2023-02-20,18.19,402,1.85,18.480414902546688,2%,No
PID100176,Amount First,Fresh Produce,Vegetables,2024-01-06,59,8.012179510768505,2023-10-22,37.55,76,6.98,Ripe,0.8045043690485232,No
PID100177,Three List,Fresh Produce,Vegetables,2024-05-08,34,0.7640679229496034,2023-12-01,26.28,159,8.38,Unripe,3.3361293642632384,No
PID100178,College Such,Dairy Products,Cream,2024-02-27,5,1.9655825543107897,2023-12-04,26.31,85,8.07,28.794917472482595,Whole,No
PID100179,Reality Magazine,Ready-to-Eat Meals,Fresh Pasta,2024-05-24,21,9.47193308330076,2023-07-16,35.1,313,1.69,Fresh Pasta,Gluten-Free,No
PID100180,Idea Wear,Bakery Items,Cakes,2024-07-24,43,9.48319373076079,2023-07-15,24.66,375,8.89,Cakes,Fruit,No
PID100181,Along Painting,Fresh Produce,Fruits,2024-02-05,31,6.538881783746002,2023-09-21,17.1,137,9.67,Ripe,2.260401484640042,No
PID100182,Study Support,Ready-to-Eat Meals,Fresh Pasta,2024-07-20,47,8.826862397574763,2023-10-22,7.76,272,5.69,Fresh Pasta,Gluten-Free,No
PID100183,Plan Ball,Meat and Seafood,Shellfish,2024-10-17,1,7.025930730284174,2023-06-15,36.2,490,1.8,Ground,Fish,Yes
PID100184,Western Somebody,Fresh Produce,Vegetables,2024-03-21,66,0.5351195958460062,2023-04-23,3.31,333,9.26,Overripe,6.114741872824333,No
PID100185,North Wear,Meat and Seafood,Fish,2024-08-20,4,4.478003882948366,2023-06-12,28.83,435,6.9,Ground,Fish,No
PID100186,That Meet,Fresh Juices,Freshly Squeezed Juices,2024-11-24,69,4.3036831259277335,2023-11-04,7.36,386,5.7,Freshly Squeezed Juices,Sugar,No
PID100187,Important Political,Dairy Products,Cream,2024-08-15,56,2.833631582377647,2023-04-01,19.71,502,9.17,7.201641718729894,Skim,No
PID100188,Today Treatment,Ready-to-Eat Meals,Pre-made Salads,2024-11-05,9,8.438031735997667,2023-01-08,49.9,667,8.86,Pre-made Salads,Vegan,Yes
