Product ID,Product Name,Category,Sub-Category,Expiration Date,Stock Level,Sales Velocity,Purchase Date,Price,Shelf Life,Product Weight/Volume,Additional Feature 1,Additional Feature 2
PID100021,Score Truth,Ready-to-Eat Meals,Pre-packaged Meals,2024-01-25,34,3.906275362,2023-03-16,36.85,315,8.4,Pre-packaged Meals,None
PID100022,Whose Out,Meat and Seafood,Pork,2024-03-27,99,1.051483966,2023-04-03,34.13,359,8.47,Fillet,N/A
PID100023,Suggest Change,Deli,Prepared Meats,2024-11-07,77,9.253474747,2023-07-30,33.61,466,0.23,Pre-made Salads,Semi-Soft
PID100024,Line Benefit,Deli,Pre-made Salads,2024-02-01,46,4.192101307,2023-05-05,33.22,272,1.62,Pre-made Salads,Soft
PID100025,Type Movie,Eggs,Size,2024-12-28,43,7.520653102,2023-07-10,27.67,537,1.43,Medium,AA
PID100026,Boy Fish,Deli,Pre-made Salads,2024-08-02,46,6.10763802,2023-04-24,44.71,466,8.55,Deli Meats,Hard
PID100027,Seat Capital,Deli,Cheese,2024-07-31,96,4.436970889,2023-05-10,32.89,448,0.12,Deli Meats,Hard
PID100028,Teacher Win,Fresh Juices,Freshly Squeezed Juices,2024-07-28,31,2.619429298,2023-03-20,22.96,496,7.13,Freshly Squeezed Juices,Preservatives
PID100029,Successful Player,Ready-to-Eat Meals,Pre-packaged Meals,2024-07-31,52,8.781037827,2023-08-17,28.81,349,7.74,Pre-packaged Meals,None
PID100030,Field Light,Fresh Produce,Fruits,2024-02-05,58,1.106919937,2023-08-20,35.37,169,4.52,Ripe,9.080398572
PID100031,Success Image,Fresh Produce,Fruits,2024-05-03,64,3.596467092,2023-08-12,42.05,265,0.59,Ripe,1.880012941
PID100032,Effort Fill,Dairy Products,Yogurt,2024-03-12,2,4.317259811,2023-03-15,34.25,363,3.23,6.405739862,2%
PID100033,Term Culture,Fresh Produce,Fruits,2024-01-13,25,1.629587,2023-08-26,32.81,140,8.75,Ripe,6.88540004
PID100034,Realize Ever,Meat and Seafood,Beef,2024-07-04,61,8.612412041,2023-01-27,20.44,524,0.91,Fillet,Shellfish
PID100035,Behind Respond,Dairy Products,Soft Cheeses,2024-10-21,18,6.708886407,2023-02-20,41.05,609,6.48,3.453280376,Whole
PID100036,Under Citizen,Deli,Prepared Meats,2024-12-24,6,0.8863010999,2023-01-16,34.37,708,5.63,Sausages,Hard
PID100037,Thousand Be,Fresh Produce,Vegetables,2024-12-14,92,6.619362813,2023-09-29,23.47,442,4.41,Overripe,1.782883198
PID100038,Wind Themselves,Ready-to-Eat Meals,Pre-made Salads,2024-07-28,38,0.5845222795,2023-09-23,8.4,309,3.4,Pre-made Salads,Vegan
PID100039,Include Third,Dairy Products,Soft Cheeses,2024-09-30,100,6.395112029,2023-07-23,3.02,435,1.72,29.4574221,Skim
PID100040,Fact Nearly,Fresh Juices,Smoothies,2024-11-11,71,1.731588921,2023-04-02,6.63,589,7.33,Smoothies,None
PID100041,Time Dinner,Deli,Prepared Meats,2024-12-13,67,7.422277105,2023-09-21,15.83,449,8.37,Sausages,Semi-Soft
PID100042,Perform That,Dairy Products,Milk,2024-06-11,72,9.132246767,2023-08-14,24.23,302,8.42,29.28688373,Skim
PID100043,Face Little,Dairy Products,Cream,2024-07-10,15,7.146155266,2023-09-14,21.9,300,3.09,22.04252974,Whole
PID100044,Put School,Meat and Seafood,Shellfish,2024-12-22,49,8.158125708,2023-11-05,49.58,413,0.96,Steak,Fish
PID100045,Heavy Beautiful,Bakery Items,Bread,2024-05-05,50,0.5745845506,2023-08-26,20.3,253,5.24,Bread,Fruit
PID100046,Business Message,Eggs,Size,2024-08-15,55,1.294800807,2023-09-02,11.79,348,9.99,Small,A
PID100047,Government Through,Ready-to-Eat Meals,Pre-packaged Meals,2024-03-14,46,1.592617803,2023-04-05,41.28,344,8.54,Pre-packaged Meals,Gluten-Free
PID100048,Admit Sign,Eggs,Size,2024-04-15,16,5.222331004,2023-02-15,13.57,425,6.45,Large,A
PID100049,Season Discussion,Dairy Products,Yogurt,2024-05-24,59,4.091303661,2023-11-05,27.77,201,1.6,29.66069667,Skim
PID100050,Conference Go,Meat and Seafood,Shellfish,2024-06-14,52,6.56445368,2023-11-13,21.74,214,5.26,Fillet,Shellfish
PID100051,Assume Blood,Eggs,Size,2024-10-31,70,6.292820799,2023-02-26,11.72,613,3.47,Small,AA
PID100052,Top Save,Fresh Juices,Freshly Squeezed Juices,2024-03-25,68,1.909485383,2023-01-18,13.59,432,7.86,Freshly Squeezed Juices,Sugar
PID100053,Technology Painting,Deli,Pre-made Salads,2024-09-03,91,8.16702611,2023-12-20,4.25,258,0.94,Deli Meats,Soft
PID100054,Would Nor,Bakery Items,Bread,2024-08-21,6,3.354258766,2023-09-22,38.19,334,4.54,Bread,Cream
PID100055,Back Agreement,Meat and Seafood,Fish,2024-02-18,48,5.29749708,2023-09-04,45.15,167,5.07,Steak,N/A
PID100056,Current Police,Dairy Products,Cream,2024-11-18,97,2.457995905,2023-08-12,27.24,464,6.03,24.77089851,Skim
PID100057,Call Include,Ready-to-Eat Meals,Pre-made Salads,2024-02-05,76,2.718925413,2023-05-24,43.37,257,0.3,Pre-made Salads,Gluten-Free
PID100058,These Business,Meat and Seafood,Chicken,2024-01-15,65,5.917533043,2023-08-24,17.3,144,4.99,Fillet,Shellfish
PID100059,Age Day,Ready-to-Eat Meals,Fresh Pasta,2024-03-12,50,1.091458209,2023-10-06,32.41,158,1.36,Fresh Pasta,Vegan
PID100060,Candidate Measure,Fresh Juices,Freshly Squeezed Juices,2024-03-22,5,5.072638921,2023-10-10,7.9,164,8.91,Freshly Squeezed Juices,Preservatives
PID100061,Such Ask,Dairy Products,Yogurt,2024-12-29,46,4.405831865,2023-09-21,30.98,465,3.93,1.410987474,Skim
PID100062,Agency Off,Meat and Seafood,Beef,2024-06-14,5,6.183852474,2023-08-30,7.5,289,3.31,Fillet,Fish
PID100063,Blood Thing,Ready-to-Eat Meals,Fresh Pasta,2024-04-10,15,8.872127846,2023-01-28,30.9,438,4.73,Fresh Pasta,None
PID100064,Do Away,Fresh Juices,Freshly Squeezed Juices,2024-09-08,88,7.279360454,2023-04-27,15.52,500,8.51,Freshly Squeezed Juices,Sugar
PID100065,Hard Least,Deli,Pre-made Salads,2024-03-11,88,9.842281745,2023-01-24,6.96,412,8.62,Deli Meats,Soft
PID100066,Most Manage,Ready-to-Eat Meals,Fresh Pasta,2024-01-16,48,7.687854102,2023-08-20,23.32,149,7.92,Fresh Pasta,Gluten-Free
PID100067,Blood Scene,Fresh Produce,Fruits,2024-05-31,63,2.92617013,2023-03-19,2.31,439,5.25,Overripe,5.717968261
PID100068,Ever Her,Bakery Items,Bread,2024-12-17,12,7.875255117,2023-10-12,44.35,432,6.31,Bread,Fruit
PID100069,Many This,Deli,Prepared Meats,2024-12-16,19,4.546717357,2023-12-23,28.73,359,9.24,Deli Meats,Semi-Soft
PID100070,Over Condition,Dairy Products,Milk,2024-09-27,54,7.851277958,2023-09-19,36.98,374,0.4,13.40155797,2%
PID100071,Democrat Speak,Ready-to-Eat Meals,Pre-packaged Meals,2024-01-23,64,9.233182357,2023-11-03,48.15,81,7.25,Pre-packaged Meals,Gluten-Free
PID100072,Require Cold,Fresh Juices,Freshly Squeezed Juices,2024-11-24,16,3.912906491,2023-03-04,2.44,631,3.54,Freshly Squeezed Juices,None
PID100073,Guess Next,Bakery Items,Pastries,2024-04-07,10,6.167595837,2023-02-15,8.02,417,0.13,Pastries,None
PID100074,Picture Will,Fresh Produce,Vegetables,2024-06-20,48,7.049931528,2023-09-16,46.71,278,2.41,Unripe,1.869917024
PID100075,Continue Add,Dairy Products,Cream,2024-07-02,45,7.221064583,2023-09-22,13.65,284,0.38,6.243603758,Skim
PID100076,It We,Eggs,Grade,2024-08-09,38,9.40270502,2023-12-06,47.95,247,6.4,Large,A
PID100077,Movie Whose,Dairy Products,Soft Cheeses,2024-04-30,21,4.077594858,2023-09-10,8.2,233,1.34,6.684522699,2%
PID100078,Heavy Important,Bakery Items,Bread,2024-11-21,97,2.247472001,2023-09-13,19.25,435,6.67,Bread,Cream
PID100079,Enough Class,Fresh Produce,Vegetables,2024-08-05,10,7.17061047,2023-09-26,7.47,314,3.06,Ripe,7.408788199
PID100080,Actually Lot,Meat and Seafood,Shellfish,2024-10-14,55,3.331267033,2023-01-31,18.37,622,2.56,Fillet,N/A
PID100081,Government Single,Fresh Produce,Vegetables,2024-01-18,53,0.5800622773,2023-07-31,48.14,171,9.02,Ripe,2.039902759
PID100082,Fast Central,Deli,Cheese,2024-04-03,12,9.527549131,2023-10-23,40.03,163,2.84,Pre-made Salads,Hard
PID100083,Meet He,Meat and Seafood,Fish,2024-08-24,52,2.261116537,2023-04-22,21.66,490,1.83,Whole,Shellfish
PID100084,Report Her,Meat and Seafood,Chicken,2024-08-17,60,6.499410771,2023-12-13,5.24,248,7.57,Fillet,Fish
PID100085,Property Too,Eggs,Grade,2024-08-29,1,2.577974754,2023-02-21,6.61,555,9.79,Medium,A
PID100086,Senior Force,Ready-to-Eat Meals,Pre-made Salads,2024-05-30,97,4.978631756,2023-10-18,34.23,225,7.62,Pre-made Salads,Gluten-Free
PID100087,Join Them,Ready-to-Eat Meals,Fresh Pasta,2024-09-09,81,9.848143803,2023-02-01,6.92,586,8.85,Fresh Pasta,Gluten-Free
PID100088,Ability Phone,Fresh Produce,Vegetables,2024-03-15,51,5.497968133,2023-09-29,29.5,168,4.02,Unripe,7.465509493
PID100089,Good Collection,Fresh Juices,Smoothies,2024-04-02,97,6.889200223,2023-03-28,10.61,371,0.94,Smoothies,None
PID100090,Public Line,Deli,Cheese,2024-05-27,69,3.728958861,2023-10-03,26.98,237,2.57,Deli Meats,Soft
PID100091,Type Report,Ready-to-Eat Meals,Fresh Pasta,2024-08-08,37,5.438423971,2023-12-06,29.13,246,6.31,Fresh Pasta,None
PID100092,Join Almost,Dairy Products,Cream,2024-06-05,82,5.66394494,2023-12-05,37.33,183,9.05,8.358437931,Skim
PID100093,Science Out,Fresh Juices,Freshly Squeezed Juices,2024-06-11,21,1.671333072,2023-10-27,6.91,228,4.07,Freshly Squeezed Juices,Sugar
PID100094,Recognize Security,Meat and Seafood,Shellfish,2024-01-19,86,3.34013206,2023-03-06,31.97,319,7.45,Ground,Shellfish
PID100095,Like Attack,Eggs,Grade,2024-04-10,64,6.694517569,2023-09-30,3.95,193,3.07,Small,AA
PID100096,Coach Likely,Fresh Produce,Fruits,2024-07-23,4,3.876312949,2023-12-10,20.16,226,9.93,Overripe,9.789066022
PID100097,Message Whatever,Dairy Products,Cream,2024-08-06,1,3.932144023,2023-08-23,6.69,349,0.14,8.109832154,2%
PID100098,Someone A,Deli,Pre-made Salads,2024-12-09,30,1.836458002,2023-01-16,29.07,693,1.99,Sausages,Semi-Soft
PID100099,Miss Gas,Fresh Juices,Smoothies,2024-05-01,22,3.641607445,2023-11-22,32.75,161,6.91,Smoothies,None
PID100100,Manage Apply,Eggs,Size,2024-11-10,68,3.502681127,2023-11-16,11.23,360,1.95,Medium,AA
PID100101,Type Task,Ready-to-Eat Meals,Fresh Pasta,2024-06-10,50,7.432939847,2023-03-15,39.98,453,4.45,Fresh Pasta,Gluten-Free
PID100102,Official Property,Fresh Produce,Vegetables,2024-02-02,5,2.723277975,2023-11-22,5.15,72,1.95,Unripe,7.431628081
PID100103,Share Case,Meat and Seafood,Pork,2024-01-06,79,3.326508174,2023-06-06,5.24,214,8.7,Fillet,Shellfish
PID100104,Resource Key,Ready-to-Eat Meals,Fresh Pasta,2024-05-02,7,6.502854601,2023-01-02,26.29,486,9.57,Fresh Pasta,None
PID100105,Different Address,Ready-to-Eat Meals,Pre-made Salads,2024-10-05,59,5.156919605,2023-10-21,35.5,350,2.23,Pre-made Salads,Vegan
PID100106,Able Test,Fresh Produce,Fruits,2024-09-19,7,2.047146654,2023-07-25,1.19,422,6.58,Unripe,0.6369015416
PID100107,Population Billion,Ready-to-Eat Meals,Pre-made Salads,2024-03-14,29,9.721420037,2023-02-16,20.43,392,9.22,Pre-made Salads,Vegan
PID100108,Political Range,Bakery Items,Pastries,2024-03-18,78,1.472219264,2023-12-06,44.26,103,7.97,Pastries,Custard
PID100109,Five Far,Eggs,Grade,2024-09-24,33,0.7738766071,2023-03-12,3.17,562,3.75,Large,AA
PID100110,Black Maybe,Bakery Items,Bread,2024-11-27,33,6.890344873,2023-12-25,37.04,338,3.19,Bread,Fruit
PID100111,Industry Product,Deli,Cheese,2024-02-01,45,8.783769177,2023-01-09,12.76,388,3.13,Pre-made Salads,Soft
PID100112,Face White,Fresh Produce,Vegetables,2024-06-24,64,7.383745847,2023-11-07,3.33,230,8.11,Ripe,4.605116728
PID100113,Structure Business,Dairy Products,Milk,2024-11-30,11,2.790871772,2023-04-10,41.49,600,1.62,26.52758559,Whole
PID100114,Cell Ready,Eggs,Size,2024-07-21,55,5.810606582,2023-11-14,44.44,250,4.01,Large,A
PID100115,Rather Quite,Eggs,Size,2024-05-14,17,8.4843606,2023-02-14,14.67,455,3.59,Medium,A
PID100116,Try Clear,Deli,Pre-made Salads,2024-04-18,70,7.995858277,2023-11-27,35.84,143,7.8,Pre-made Salads,Hard
PID100117,After And,Eggs,Grade,2024-01-16,35,2.701984816,2023-03-21,6.82,301,7.86,Large,A
PID100118,Responsibility Event,Ready-to-Eat Meals,Pre-packaged Meals,2024-08-04,28,3.203291348,2023-05-03,37.07,459,6.63,Pre-packaged Meals,None
PID100119,Your Hit,Ready-to-Eat Meals,Pre-packaged Meals,2024-12-30,16,4.154598662,2023-08-09,14.35,509,9.71,Pre-packaged Meals,None
PID100120,Where Time,Fresh Juices,Freshly Squeezed Juices,2024-01-17,87,7.307217972,2023-11-25,27.79,53,2.89,Freshly Squeezed Juices,Preservatives
PID100121,So Science,Bakery Items,Bread,2024-08-23,67,3.421425275,2023-09-12,17.04,346,3.79,Bread,Fruit
PID100122,Miss Seem,Deli,Pre-made Salads,2024-09-07,22,1.804235531,2023-12-17,1.76,265,5.1,Sausages,Hard
PID100123,Low Push,Fresh Produce,Fruits,2024-06-18,51,1.97480979,2023-05-25,9.66,390,9.91,Unripe,7.650406152
PID100124,Try Note,Eggs,Size,2024-03-10,31,7.459325613,2023-03-22,40.99,354,7.62,Medium,A
PID100125,How People,Eggs,Size,2024-04-23,79,8.422370823,2023-01-04,26.8,475,3.65,Medium,AA
PID100126,Certainly City,Fresh Produce,Fruits,2024-04-15,72,6.701252491,2023-05-10,33.38,341,5,Overripe,4.809150885
PID100127,Green Strategy,Fresh Juices,Freshly Squeezed Juices,2024-05-22,34,1.805720633,2023-10-07,20.69,228,1.99,Freshly Squeezed Juices,Sugar
PID100128,Better Ground,Deli,Cheese,2024-10-29,8,2.482302411,2023-08-29,16.44,427,7.5,Deli Meats,Semi-Soft
PID100129,Also Analysis,Eggs,Size,2024-04-14,34,3.769631225,2023-03-05,8.95,406,0.27,Small,A
PID100130,Citizen Past,Meat and Seafood,Chicken,2024-04-22,3,5.165517412,2023-05-21,4,337,2.49,Steak,Fish
PID100131,Indicate Official,Fresh Juices,Freshly Squeezed Juices,2024-02-20,8,3.776820848,2023-04-24,33.53,302,1.44,Freshly Squeezed Juices,None
PID100132,Building Mean,Eggs,Grade,2024-10-10,19,3.901333779,2023-04-04,9.67,555,3.36,Small,AA
PID100133,World Anything,Ready-to-Eat Meals,Pre-packaged Meals,2024-04-29,53,8.963776667,2023-03-11,27.15,415,8.07,Pre-packaged Meals,None
PID100134,Tough Necessary,Eggs,Size,2024-10-09,73,9.254324162,2023-01-28,21.04,620,3.96,Large,A
PID100135,Five Interesting,Meat and Seafood,Beef,2024-11-20,43,2.755114499,2023-05-08,41.58,562,1.85,Steak,Fish
PID100136,Firm Join,Meat and Seafood,Beef,2024-02-12,55,9.312669584,2023-02-08,30.3,369,6.24,Whole,N/A
PID100137,Option When,Meat and Seafood,Shellfish,2024-07-05,78,0.8804636218,2023-07-04,17.67,367,7.41,Whole,Fish
PID100138,Green Thought,Fresh Produce,Vegetables,2024-11-05,12,3.904469142,2023-11-12,33.91,359,4.64,Overripe,3.558094886
PID100139,Gun Capital,Ready-to-Eat Meals,Fresh Pasta,2024-07-05,35,8.131577389,2023-02-15,47.28,506,0.25,Fresh Pasta,None
PID100140,Scene Modern,Deli,Pre-made Salads,2024-06-14,61,9.784611354,2023-01-15,38.87,516,5.75,Sausages,Hard
PID100141,Five Government,Fresh Produce,Vegetables,2024-10-12,51,7.353183293,2023-09-24,20.79,384,5.01,Unripe,2.730496953
PID100142,Wall Clearly,Fresh Produce,Vegetables,2024-12-23,88,6.963738807,2023-03-06,35.43,658,9.3,Overripe,7.620813713
PID100143,Produce Other,Fresh Juices,Smoothies,2024-05-25,33,2.485212487,2023-11-10,28.74,197,3.36,Smoothies,None
PID100144,Purpose Begin,Fresh Juices,Freshly Squeezed Juices,2024-01-26,20,3.641255413,2023-11-10,37.62,77,0.19,Freshly Squeezed Juices,None
PID100145,Become Decade,Meat and Seafood,Chicken,2024-10-18,47,3.266310833,2023-03-27,15.38,571,5,Whole,N/A
PID100146,Ask Image,Ready-to-Eat Meals,Pre-packaged Meals,2024-01-04,1,7.98923081,2023-02-08,28.86,330,4.47,Pre-packaged Meals,Vegan
PID100147,Indeed Only,Fresh Produce,Vegetables,2024-07-20,86,8.274682297,2023-04-23,39.15,454,7.5,Unripe,0.7024606726
PID100148,List Wife,Ready-to-Eat Meals,Fresh Pasta,2024-07-08,23,5.530531437,2023-11-03,4.1,248,6.43,Fresh Pasta,None
PID100149,Pattern Send,Dairy Products,Cream,2024-09-20,97,4.629056711,2023-03-26,16.26,544,0.23,23.35593648,2%
PID100150,Land Because,Deli,Cheese,2024-05-23,69,5.509019921,2023-03-27,16.58,423,3.49,Pre-made Salads,Semi-Soft
PID100151,Every Pay,Meat and Seafood,Beef,2024-10-28,97,5.357742961,2023-03-06,39.45,602,7.04,Whole,Shellfish
PID100152,Lawyer Dark,Eggs,Size,2024-05-19,72,9.168076354,2023-02-14,32.2,460,8,Large,A
PID100153,Attack Term,Fresh Juices,Freshly Squeezed Juices,2024-12-01,88,2.347839504,2023-11-28,18.37,369,7.03,Freshly Squeezed Juices,None
PID100154,Science Ahead,Bakery Items,Cakes,2024-12-16,31,3.107490225,2023-07-24,47.3,511,9.27,Cakes,None
PID100155,Live Soldier,Eggs,Size,2024-09-19,96,7.281250565,2023-03-20,43.32,549,8.96,Small,A
PID100156,By Modern,Bakery Items,Bread,2024-06-03,57,9.273813219,2023-04-10,46.47,420,6.38,Bread,Custard
PID100157,Despite Put,Deli,Cheese,2024-01-17,97,7.848053283,2023-11-06,30.87,72,1,Deli Meats,Semi-Soft
PID100158,Direction Price,Fresh Produce,Vegetables,2024-02-26,26,7.742347894,2023-02-10,19.94,381,7.78,Overripe,6.730764463
PID100159,Decade Low,Fresh Produce,Vegetables,2024-05-26,46,8.383597224,2023-05-21,7.21,371,7.13,Ripe,8.220051901
PID100160,Office The,Ready-to-Eat Meals,Fresh Pasta,2024-02-28,67,1.78572984,2023-02-10,4.99,383,8.66,Fresh Pasta,Vegan
PID100161,Pick Method,Fresh Produce,Fruits,2024-02-27,25,7.31423327,2023-08-07,33.9,204,4.76,Ripe,9.281325701
PID100162,Into Pull,Fresh Produce,Vegetables,2024-09-21,51,9.100040191,2023-06-14,49.23,465,7.67,Ripe,4.064167862
PID100163,Understand Near,Meat and Seafood,Shellfish,2024-07-11,19,4.339931371,2023-09-21,16,294,0.69,Ground,Fish
PID100164,Whose View,Eggs,Size,2024-05-05,94,8.32571879,2023-11-20,3.13,167,5.59,Small,AA
PID100165,Moment Moment,Meat and Seafood,Chicken,2024-09-03,75,8.223494495,2023-09-18,4.96,351,1.83,Fillet,Fish
PID100166,Two Defense,Deli,Cheese,2024-07-29,90,7.232390831,2023-08-25,39.33,339,5.22,Sausages,Soft
PID100167,Word Discuss,Eggs,Size,2024-01-04,5,6.509168994,2023-05-13,9.67,236,5.17,Medium,A
PID100168,Season Skin,Bakery Items,Cakes,2024-12-15,59,6.303480366,2023-05-04,40.8,591,5.27,Cakes,Custard
PID100169,Television Fund,Meat and Seafood,Fish,2024-01-14,99,5.781240899,2023-07-23,27.63,175,8.22,Fillet,Fish
PID100170,Choose Two,Dairy Products,Milk,2024-04-09,55,6.271638202,2023-08-23,28.94,230,3.42,11.34196345,Skim
PID100171,Step Clearly,Dairy Products,Yogurt,2024-11-23,41,9.292423324,2023-05-28,9.95,545,1.34,10.13668363,2%
PID100172,Pass Financial,Bakery Items,Bread,2024-10-05,53,6.631233071,2023-10-02,35.24,369,7.99,Bread,None
PID100173,Surface Many,Meat and Seafood,Chicken,2024-01-26,10,4.378148049,2023-11-07,22.59,80,6.08,Fillet,N/A
PID100174,Become Name,Deli,Pre-made Salads,2024-12-03,59,4.416153585,2023-12-22,2.5,347,8.04,Deli Meats,Semi-Soft
PID100175,Among Attorney,Dairy Products,Soft Cheeses,2024-03-28,13,1.671973446,2023-02-20,18.19,402,1.85,18.4804149,2%
PID100176,Amount First,Fresh Produce,Vegetables,2024-01-06,59,8.012179511,2023-10-22,37.55,76,6.98,Ripe,0.804504369
PID100177,Three List,Fresh Produce,Vegetables,2024-05-08,34,0.7640679229,2023-12-01,26.28,159,8.38,Unripe,3.336129364
PID100178,College Such,Dairy Products,Cream,2024-02-27,5,1.965582554,2023-12-04,26.31,85,8.07,28.79491747,Whole
PID100179,Reality Magazine,Ready-to-Eat Meals,Fresh Pasta,2024-05-24,21,9.471933083,2023-07-16,35.1,313,1.69,Fresh Pasta,Gluten-Free
PID100180,Idea Wear,Bakery Items,Cakes,2024-07-24,43,9.483193731,2023-07-15,24.66,375,8.89,Cakes,Fruit
PID100181,Along Painting,Fresh Produce,Fruits,2024-02-05,31,6.538881784,2023-09-21,17.1,137,9.67,Ripe,2.260401485
PID100182,Study Support,Ready-to-Eat Meals,Fresh Pasta,2024-07-20,47,8.826862398,2023-10-22,7.76,272,5.69,Fresh Pasta,Gluten-Free
PID100183,Plan Ball,Meat and Seafood,Shellfish,2024-10-17,1,7.02593073,2023-06-15,36.2,490,1.8,Ground,Fish
PID100184,Western Somebody,Fresh Produce,Vegetables,2024-03-21,66,0.5351195958,2023-04-23,3.31,333,9.26,Overripe,6.114741873
PID100185,North Wear,Meat and Seafood,Fish,2024-08-20,4,4.478003883,2023-06-12,28.83,435,6.9,Ground,Fish
PID100186,That Meet,Fresh Juices,Freshly Squeezed Juices,2024-11-24,69,4.303683126,2023-11-04,7.36,386,5.7,Freshly Squeezed Juices,Sugar
PID100187,Important Political,Dairy Products,Cream,2024-08-15,56,2.833631582,2023-04-01,19.71,502,9.17,7.201641719,Skim
PID100188,Today Treatment,Ready-to-Eat Meals,Pre-made Salads,2024-11-05,9,8.438031736,2023-01-08,49.9,667,8.86,Pre-made Salads,Vegan
PID100189,Realize Value,Fresh Produce,Vegetables,2024-01-01,31,3.124677564,2023-10-15,30.94,78,8.69,Ripe,9.641190069
PID100190,Court Five,Dairy Products,Milk,2024-07-15,19,7.278020279,2023-08-10,2.31,340,4.27,26.10692515,Skim
PID100191,Environmental Go,Ready-to-Eat Meals,Pre-packaged Meals,2024-01-26,92,4.876520494,2023-07-11,23.64,199,1.78,Pre-packaged Meals,Vegan
PID100192,Trade Everybody,Ready-to-Eat Meals,Pre-packaged Meals,2024-11-16,76,9.224916264,2023-04-28,43.36,568,7.64,Pre-packaged Meals,Gluten-Free
PID100193,Spring Involve,Fresh Juices,Smoothies,2024-05-29,19,6.471745479,2023-11-11,38.54,200,6.34,Smoothies,None
PID100194,Identify Assume,Bakery Items,Pastries,2024-03-04,23,7.372836527,2023-09-06,16.91,180,3.86,Pastries,None
PID100195,Worry Care,Deli,Pre-made Salads,2024-04-02,56,0.831558775,2023-04-22,21.12,346,3.81,Deli Meats,Semi-Soft
PID100196,Shoulder Themselves,Meat and Seafood,Pork,2024-05-09,15,6.324722811,2023-01-22,9.12,473,4.36,Whole,Shellfish
PID100197,Year Also,Dairy Products,Milk,2024-07-05,100,4.541565077,2023-06-12,36.58,389,1.47,4.589045988,Whole
PID100198,Chance Million,Bakery Items,Bread,2024-12-11,68,1.787783096,2023-12-02,25.16,375,9.01,Bread,Custard
PID100199,Play Series,Fresh Juices,Freshly Squeezed Juices,2024-02-01,53,7.847495781,2023-09-19,13.83,135,1.67,Freshly Squeezed Juices,Preservatives
PID100200,Say Civil,Fresh Juices,Freshly Squeezed Juices,2024-11-10,49,9.853168987,2023-05-18,37.45,542,3.12,Freshly Squeezed Juices,Sugar
PID100201,Its Also,Fresh Juices,Smoothies,2024-08-25,61,5.359690852,2023-07-01,48.27,421,9.96,Smoothies,None
